episode_returns,episode_lengths,total_episodes
-614.0,200,5000
-632.0,200,5000
-605.0,200,5000
-437.0,170,5000
-677.0,200,5000
-587.0,200,5000
-587.0,200,5000
-290.0,200,5000
-525.0,195,5000
-254.0,200,5000
-641.0,200,5000
-704.0,200,5000
-461.0,200,5000
-668.0,200,5000
-344.0,200,5000
-407.0,200,5000
-281.0,200,5000
-299.0,200,5000
-686.0,200,5000
-254.0,200,5000
-290.0,200,5000
-614.0,200,5000
-263.0,200,5000
-569.0,200,5000
-416.0,200,5000
-299.0,200,5000
-170.0,146,5000
-488.0,200,5000
-380.0,200,5000
-353.0,200,5000
-140.0,134,5000
-246.0,177,5000
-227.0,200,5000
-353.0,200,5000
-272.0,200,5000
-218.0,200,5000
-245.0,200,5000
-194.0,152,5000
-272.0,200,5000
-290.0,200,5000
-245.0,200,5000
-245.0,200,5000
-153.0,66,5000
-299.0,200,5000
-245.0,200,5000
-236.0,200,5000
-245.0,200,5000
-263.0,200,5000
-144.0,111,5000
-245.0,200,5000
-183.0,150,5000
-231.0,189,5000
-236.0,200,5000
-245.0,200,5000
-218.0,200,5000
-272.0,200,5000
-263.0,200,5000
-263.0,200,5000
-245.0,200,5000
-308.0,200,5000
-174.0,150,5000
-51.0,63,5000
-272.0,200,5000
-254.0,200,5000
-227.0,200,5000
-254.0,200,5000
-452.0,200,5000
-182.0,167,5000
-335.0,200,5000
-218.0,200,5000
-118.0,112,5000
-35.0,56,5000
-240.0,144,5000
-87.0,81,5000
-407.0,200,5000
-317.0,200,5000
-236.0,200,5000
-227.0,200,5000
-245.0,200,5000
-139.0,115,5000
-42.0,63,5000
-247.0,169,5000
-105.0,81,5000
-245.0,200,5000
-103.0,106,5000
-326.0,158,5000
-281.0,200,5000
-245.0,200,5000
-67.0,61,5000
-144.0,156,5000
-215.0,173,5000
-281.0,200,5000
-407.0,200,5000
-169.0,163,5000
-290.0,200,5000
-317.0,200,5000
-73.0,76,5000
-281.0,200,5000
-120.0,87,5000
-254.0,200,5000
-254.0,200,5000
-104.0,80,5000
-281.0,200,5000
-398.0,200,5000
-25.0,46,5000
-101.0,86,5000
-236.0,200,5000
-148.0,124,5000
-64.0,67,5000
-182.0,140,5000
-335.0,200,5000
-245.0,200,5000
-181.0,157,5000
-299.0,200,5000
-262.0,184,5000
-263.0,200,5000
-497.0,200,5000
-272.0,200,5000
-389.0,200,5000
-263.0,200,5000
-45.0,57,5000
-84.0,87,5000
-389.0,200,5000
-94.0,88,5000
-220.0,169,5000
-317.0,200,5000
-210.0,159,5000
-104.0,107,5000
-188.0,146,5000
-194.0,161,5000
-51.0,54,5000
-281.0,200,5000
-263.0,200,5000
-443.0,200,5000
-229.0,169,5000
-21.0,42,5000
-197.0,155,5000
-149.0,125,5000
-196.0,136,5000
-254.0,200,5000
-290.0,200,5000
-119.0,104,5000
-180.0,183,5000
-263.0,200,5000
-281.0,200,5000
-120.0,123,5000
-67.0,61,5000
-254.0,200,5000
-138.0,141,5000
-25.0,46,5000
-2.0,14,5000
-163.0,130,5000
-60.0,72,5000
-119.0,113,5000
-380.0,200,5000
-97.0,73,5000
-184.0,169,5000
-299.0,200,5000
-177.0,162,5000
-26.0,29,5000
-162.0,147,5000
-281.0,200,5000
-72.0,66,5000
-54.0,57,5000
14.0,7,5000
-290.0,200,5000
-106.0,100,5000
-9.0,30,5000
-21.0,33,5000
-61.0,55,5000
-117.0,93,5000
-281.0,200,5000
-72.0,57,5000
-47.0,59,5000
-209.0,149,5000
-230.0,197,5000
-79.0,82,5000
-125.0,101,5000
-106.0,82,5000
-263.0,200,5000
-91.0,76,5000
-92.0,104,5000
-53.0,47,5000
-221.0,161,5000
-163.0,157,5000
-416.0,200,5000
-197.0,173,5000
-132.0,126,5000
-69.0,63,5000
-90.0,75,5000
-134.0,92,5000
-83.0,68,5000
-145.0,121,5000
-95.0,107,5000
-155.0,149,5000
-116.0,110,5000
-182.0,167,5000
-35.0,56,5000
-96.0,81,5000
-177.0,144,5000
-69.0,63,5000
-56.0,59,5000
-23.0,35,5000
-2.0,23,5000
-227.0,149,5000
-49.0,61,5000
-154.0,130,5000
-126.0,129,5000
-191.0,149,5000
-190.0,175,5000
-66.0,60,5000
-39.0,42,5000
-95.0,89,5000
-52.0,46,5000
-46.0,49,5000
-168.0,117,5000
-183.0,123,5000
-119.0,104,5000
-31.0,25,5000
-40.0,34,5000
-6.0,18,5000
-72.0,84,5000
-162.0,156,5000
-116.0,65,5000
-115.0,100,5000
-36.0,48,5000
-203.0,170,5000
-29.0,50,5000
-269.0,191,5000
-13.0,34,5000
-160.0,136,5000
7.0,14,5000
-100.0,94,5000
-152.0,119,5000
-136.0,130,5000
-86.0,80,5000
0.0,21,5000
-254.0,200,5000
-185.0,134,5000
-38.0,50,5000
-117.0,111,5000
-7.0,19,5000
-99.0,66,5000
-57.0,51,5000
-107.0,101,5000
-77.0,80,5000
-57.0,51,5000
-46.0,58,5000
-263.0,200,5000
-353.0,200,5000
-50.0,53,5000
-26.0,29,5000
-3.0,15,5000
-177.0,171,5000
-2.0,23,5000
3.0,9,5000
6.0,15,5000
-43.0,55,5000
-57.0,60,5000
-106.0,91,5000
-66.0,78,5000
-203.0,179,5000
0.0,21,5000
4.0,8,5000
-91.0,94,5000
-103.0,97,5000
-100.0,85,5000
-119.0,131,5000
-335.0,200,5000
-233.0,182,5000
-6.0,27,5000
-1.0,13,5000
-5.0,17,5000
-353.0,200,5000
-95.0,89,5000
-24.0,27,5000
-112.0,79,5000
-11.0,23,5000
-131.0,80,5000
-147.0,114,5000
-7.0,19,5000
-79.0,73,5000
-290.0,200,5000
-31.0,43,5000
6.0,15,5000
-308.0,200,5000
-1.0,13,5000
-335.0,200,5000
-44.0,47,5000
-10.0,22,5000
-105.0,108,5000
-234.0,192,5000
-6.0,18,5000
-23.0,26,5000
-166.0,115,5000
-3.0,15,5000
-31.0,43,5000
-6.0,27,5000
-2.0,14,5000
13.0,8,5000
-106.0,82,5000
-8.0,29,5000
-134.0,119,5000
-105.0,99,5000
-3.0,15,5000
-4.0,16,5000
-90.0,102,5000
-50.0,62,5000
-48.0,60,5000
-142.0,109,5000
10.0,11,5000
-181.0,157,5000
6.0,15,5000
-27.0,39,5000
-53.0,47,5000
-63.0,48,5000
-141.0,135,5000
-10.0,31,5000
-38.0,59,5000
-104.0,107,5000
-49.0,34,5000
-52.0,46,5000
12.0,9,5000
-113.0,98,5000
-17.0,29,5000
-129.0,123,5000
-117.0,102,5000
-26.0,38,5000
-82.0,85,5000
-110.0,86,5000
-7.0,19,5000
11.0,10,5000
10.0,11,5000
-98.0,74,5000
-48.0,69,5000
-10.0,31,5000
-8.0,29,5000
-227.0,200,5000
-24.0,36,5000
-18.0,39,5000
-71.0,56,5000
-69.0,72,5000
-38.0,59,5000
-43.0,37,5000
-61.0,64,5000
-116.0,83,5000
0.0,12,5000
10.0,11,5000
-20.0,32,5000
10.0,11,5000
-36.0,48,5000
-19.0,31,5000
-75.0,78,5000
4.0,17,5000
-94.0,79,5000
-46.0,58,5000
-16.0,28,5000
11.0,10,5000
3.0,18,5000
-68.0,35,5000
-77.0,89,5000
-28.0,40,5000
-7.0,19,5000
2.0,19,5000
-105.0,63,5000
-48.0,51,5000
-83.0,86,5000
-31.0,34,5000
-29.0,50,5000
-71.0,74,5000
2.0,10,5000
-44.0,56,5000
-108.0,93,5000
-55.0,58,5000
-1.0,22,5000
-38.0,41,5000
-6.0,27,5000
-78.0,81,5000
-47.0,50,5000
-9.0,21,5000
4.0,17,5000
-103.0,115,5000
-36.0,48,5000
-62.0,47,5000
-27.0,30,5000
-12.0,24,5000
-29.0,41,5000
-9.0,21,5000
-16.0,19,5000
-96.0,72,5000
-27.0,30,5000
-12.0,15,5000
-122.0,98,5000
-111.0,87,5000
-1.0,13,5000
8.0,13,5000
-18.0,39,5000
-25.0,19,5000
-116.0,74,5000
1.0,20,5000
-85.0,61,5000
-17.0,29,5000
3.0,18,5000
-53.0,56,5000
-6.0,27,5000
9.0,12,5000
-26.0,29,5000
-85.0,70,5000
-14.0,26,5000
8.0,13,5000
-47.0,41,5000
-64.0,67,5000
-12.0,33,5000
5.0,16,5000
-117.0,93,5000
9.0,12,5000
5.0,16,5000
-7.0,19,5000
-32.0,35,5000
8.0,13,5000
-139.0,115,5000
-44.0,38,5000
-36.0,48,5000
-12.0,15,5000
-9.0,21,5000
-8.0,20,5000
-10.0,22,5000
-130.0,115,5000
-17.0,29,5000
-35.0,38,5000
-125.0,101,5000
-15.0,18,5000
-2.0,14,5000
1.0,11,5000
7.0,14,5000
-1.0,22,5000
11.0,10,5000
-83.0,86,5000
1.0,20,5000
-64.0,67,5000
-78.0,63,5000
-10.0,22,5000
-57.0,51,5000
-92.0,86,5000
-11.0,23,5000
-70.0,55,5000
-66.0,69,5000
7.0,14,5000
4.0,17,5000
-106.0,91,5000
-32.0,35,5000
-40.0,61,5000
8.0,13,5000
-54.0,57,5000
14.0,7,5000
-11.0,14,5000
-49.0,34,5000
-124.0,100,5000
9.0,12,5000
-24.0,45,5000
1.0,11,5000
-19.0,40,5000
-4.0,16,5000
-139.0,106,5000
-64.0,67,5000
-12.0,24,5000
-7.0,19,5000
-9.0,30,5000
-50.0,53,5000
-16.0,19,5000
-17.0,38,5000
-3.0,15,5000
3.0,18,5000
-21.0,33,5000
-41.0,44,5000
-38.0,59,5000
-6.0,18,5000
9.0,12,5000
6.0,15,5000
-53.0,56,5000
6.0,15,5000
-17.0,29,5000
-54.0,48,5000
4.0,17,5000
-84.0,78,5000
-120.0,87,5000
-1.0,13,5000
-64.0,58,5000
-14.0,26,5000
9.0,12,5000
-4.0,25,5000
8.0,13,5000
9.0,12,5000
6.0,15,5000
-1.0,13,5000
-4.0,25,5000
1.0,20,5000
-23.0,35,5000
3.0,18,5000
8.0,13,5000
-10.0,31,5000
-3.0,15,5000
6.0,15,5000
7.0,14,5000
-47.0,32,5000
-47.0,50,5000
11.0,10,5000
-14.0,35,5000
-25.0,37,5000
-69.0,54,5000
8.0,13,5000
2.0,19,5000
-3.0,24,5000
-66.0,60,5000
-56.0,68,5000
-24.0,36,5000
-18.0,21,5000
1.0,11,5000
11.0,10,5000
-39.0,42,5000
10.0,11,5000
-26.0,29,5000
-206.0,128,5000
-37.0,40,5000
10.0,11,5000
-6.0,27,5000
-77.0,71,5000
-16.0,28,5000
-24.0,27,5000
-11.0,23,5000
2.0,10,5000
-13.0,16,5000
-20.0,23,5000
1.0,20,5000
-12.0,24,5000
-6.0,27,5000
-11.0,32,5000
10.0,11,5000
-43.0,37,5000
-18.0,21,5000
-1.0,22,5000
-5.0,17,5000
-27.0,39,5000
6.0,15,5000
8.0,13,5000
3.0,18,5000
10.0,11,5000
-27.0,39,5000
6.0,15,5000
-10.0,22,5000
9.0,12,5000
-1.0,13,5000
-2.0,14,5000
-33.0,45,5000
12.0,9,5000
-1.0,22,5000
3.0,18,5000
11.0,10,5000
10.0,11,5000
10.0,11,5000
2.0,19,5000
-136.0,85,5000
9.0,12,5000
3.0,18,5000
-5.0,17,5000
8.0,13,5000
12.0,9,5000
-12.0,33,5000
4.0,17,5000
-34.0,37,5000
9.0,12,5000
-1.0,13,5000
10.0,11,5000
9.0,12,5000
-27.0,21,5000
-3.0,24,5000
-1.0,13,5000
14.0,7,5000
-21.0,42,5000
4.0,17,5000
9.0,12,5000
7.0,14,5000
1.0,20,5000
-59.0,71,5000
7.0,14,5000
2.0,19,5000
-17.0,20,5000
-116.0,101,5000
-3.0,24,5000
4.0,17,5000
-81.0,66,5000
2.0,19,5000
-1.0,22,5000
6.0,15,5000
11.0,10,5000
7.0,14,5000
1.0,20,5000
2.0,19,5000
-1.0,22,5000
-57.0,42,5000
-65.0,50,5000
-3.0,15,5000
9.0,12,5000
2.0,19,5000
2.0,19,5000
-22.0,16,5000
4.0,17,5000
11.0,10,5000
10.0,11,5000
4.0,17,5000
9.0,12,5000
-59.0,62,5000
-6.0,18,5000
3.0,18,5000
-7.0,19,5000
11.0,10,5000
9.0,12,5000
-10.0,13,5000
-2.0,23,5000
-15.0,36,5000
3.0,18,5000
-75.0,51,5000
10.0,11,5000
14.0,7,5000
-37.0,31,5000
10.0,11,5000
4.0,17,5000
1.0,11,5000
-7.0,28,5000
-15.0,18,5000
-2.0,23,5000
2.0,19,5000
0.0,12,5000
-7.0,28,5000
-17.0,29,5000
10.0,11,5000
-1.0,22,5000
-15.0,36,5000
-5.0,17,5000
2.0,10,5000
0.0,21,5000
-30.0,33,5000
-1.0,13,5000
-4.0,16,5000
6.0,15,5000
-1.0,13,5000
8.0,13,5000
-7.0,19,5000
-17.0,29,5000
6.0,15,5000
-9.0,30,5000
-8.0,29,5000
9.0,12,5000
-5.0,17,5000
8.0,13,5000
6.0,15,5000
4.0,17,5000
-27.0,39,5000
-1.0,13,5000
-8.0,20,5000
-3.0,15,5000
-50.0,44,5000
-11.0,32,5000
-5.0,17,5000
-5.0,26,5000
-18.0,39,5000
12.0,9,5000
-14.0,17,5000
-58.0,70,5000
8.0,13,5000
-3.0,15,5000
-24.0,36,5000
4.0,17,5000
11.0,10,5000
-3.0,24,5000
-15.0,36,5000
-11.0,14,5000
13.0,8,5000
-7.0,19,5000
10.0,11,5000
4.0,17,5000
0.0,12,5000
-4.0,16,5000
1.0,20,5000
12.0,9,5000
-14.0,26,5000
-26.0,29,5000
-27.0,30,5000
10.0,11,5000
8.0,13,5000
6.0,15,5000
-17.0,20,5000
-2.0,14,5000
9.0,12,5000
0.0,21,5000
-23.0,26,5000
-23.0,35,5000
9.0,12,5000
2.0,19,5000
10.0,11,5000
0.0,21,5000
7.0,14,5000
-88.0,73,5000
-10.0,22,5000
-13.0,34,5000
-9.0,21,5000
-3.0,15,5000
-13.0,16,5000
10.0,11,5000
-3.0,15,5000
-59.0,44,5000
9.0,12,5000
-19.0,40,5000
-28.0,49,5000
-2.0,14,5000
-30.0,33,5000
3.0,18,5000
-4.0,25,5000
-9.0,30,5000
-8.0,29,5000
8.0,13,5000
0.0,12,5000
7.0,14,5000
9.0,12,5000
-17.0,29,5000
8.0,13,5000
-2.0,23,5000
2.0,19,5000
-33.0,45,5000
7.0,14,5000
-2.0,14,5000
6.0,15,5000
-9.0,21,5000
7.0,14,5000
-6.0,18,5000
-24.0,18,5000
-6.0,18,5000
-10.0,22,5000
7.0,14,5000
-2.0,14,5000
-21.0,24,5000
11.0,10,5000
-15.0,27,5000
5.0,16,5000
-15.0,27,5000
-4.0,16,5000
-46.0,40,5000
-8.0,20,5000
6.0,15,5000
8.0,13,5000
-6.0,27,5000
-9.0,21,5000
-16.0,37,5000
-8.0,11,5000
14.0,7,5000
4.0,17,5000
-36.0,39,5000
9.0,12,5000
0.0,21,5000
2.0,19,5000
5.0,16,5000
-6.0,18,5000
6.0,15,5000
-3.0,24,5000
1.0,20,5000
-4.0,16,5000
-21.0,15,5000
6.0,15,5000
4.0,17,5000
7.0,14,5000
-14.0,26,5000
2.0,19,5000
-33.0,27,5000
-1.0,22,5000
8.0,13,5000
-7.0,28,5000
-23.0,17,5000
6.0,15,5000
-8.0,29,5000
0.0,21,5000
12.0,9,5000
-8.0,20,5000
-4.0,16,5000
-1.0,13,5000
5.0,16,5000
-1.0,22,5000
-1.0,22,5000
6.0,15,5000
7.0,14,5000
5.0,16,5000
3.0,18,5000
-5.0,26,5000
-1.0,13,5000
9.0,12,5000
9.0,12,5000
-6.0,18,5000
-1.0,22,5000
-7.0,19,5000
7.0,14,5000
-4.0,16,5000
-1.0,13,5000
8.0,13,5000
6.0,15,5000
-14.0,26,5000
0.0,12,5000
5.0,16,5000
-1.0,13,5000
12.0,9,5000
-13.0,16,5000
9.0,12,5000
-17.0,29,5000
3.0,18,5000
10.0,11,5000
-29.0,23,5000
8.0,13,5000
1.0,20,5000
-13.0,16,5000
-15.0,18,5000
5.0,16,5000
10.0,11,5000
10.0,11,5000
4.0,17,5000
-6.0,18,5000
7.0,14,5000
5.0,16,5000
-3.0,24,5000
7.0,14,5000
13.0,8,5000
12.0,9,5000
-3.0,15,5000
-5.0,17,5000
-3.0,15,5000
-3.0,15,5000
7.0,14,5000
8.0,13,5000
8.0,13,5000
12.0,9,5000
-11.0,32,5000
9.0,12,5000
0.0,21,5000
-24.0,27,5000
10.0,11,5000
9.0,12,5000
-1.0,13,5000
-4.0,16,5000
6.0,15,5000
-8.0,20,5000
11.0,10,5000
-5.0,17,5000
7.0,14,5000
-17.0,20,5000
11.0,10,5000
3.0,18,5000
5.0,16,5000
4.0,17,5000
1.0,20,5000
8.0,13,5000
-21.0,24,5000
1.0,20,5000
7.0,14,5000
-13.0,25,5000
11.0,10,5000
4.0,17,5000
7.0,14,5000
7.0,14,5000
9.0,12,5000
-6.0,18,5000
-1.0,13,5000
-8.0,20,5000
-15.0,27,5000
2.0,10,5000
6.0,15,5000
-8.0,20,5000
-4.0,16,5000
-22.0,25,5000
7.0,14,5000
0.0,21,5000
8.0,13,5000
-2.0,14,5000
-21.0,15,5000
9.0,12,5000
12.0,9,5000
9.0,12,5000
1.0,11,5000
11.0,10,5000
4.0,17,5000
10.0,11,5000
7.0,14,5000
4.0,17,5000
-17.0,29,5000
7.0,14,5000
-16.0,19,5000
-4.0,16,5000
10.0,11,5000
6.0,15,5000
8.0,13,5000
-1.0,13,5000
-15.0,18,5000
9.0,12,5000
5.0,16,5000
9.0,12,5000
10.0,11,5000
-6.0,18,5000
9.0,12,5000
11.0,10,5000
2.0,19,5000
6.0,15,5000
-16.0,19,5000
-37.0,40,5000
-6.0,18,5000
5.0,16,5000
3.0,18,5000
8.0,13,5000
6.0,15,5000
2.0,19,5000
13.0,8,5000
9.0,12,5000
11.0,10,5000
3.0,18,5000
3.0,9,5000
0.0,12,5000
-2.0,14,5000
9.0,12,5000
0.0,21,5000
-14.0,17,5000
3.0,18,5000
-8.0,11,5000
5.0,16,5000
10.0,11,5000
-7.0,28,5000
8.0,13,5000
-6.0,27,5000
9.0,12,5000
-1.0,13,5000
7.0,14,5000
8.0,13,5000
-12.0,15,5000
-3.0,15,5000
8.0,13,5000
10.0,11,5000
5.0,16,5000
10.0,11,5000
-7.0,19,5000
11.0,10,5000
11.0,10,5000
1.0,20,5000
8.0,13,5000
6.0,15,5000
8.0,13,5000
5.0,16,5000
5.0,16,5000
9.0,12,5000
-26.0,29,5000
5.0,16,5000
6.0,15,5000
-4.0,16,5000
7.0,14,5000
0.0,12,5000
-1.0,22,5000
6.0,15,5000
11.0,10,5000
-6.0,18,5000
-2.0,14,5000
4.0,17,5000
-8.0,20,5000
11.0,10,5000
-4.0,16,5000
10.0,11,5000
5.0,16,5000
5.0,16,5000
9.0,12,5000
8.0,13,5000
7.0,14,5000
1.0,11,5000
1.0,11,5000
-6.0,18,5000
6.0,15,5000
5.0,16,5000
5.0,16,5000
5.0,16,5000
5.0,16,5000
-2.0,23,5000
-15.0,27,5000
-1.0,22,5000
8.0,13,5000
10.0,11,5000
3.0,18,5000
-21.0,15,5000
8.0,13,5000
9.0,12,5000
-4.0,16,5000
7.0,14,5000
5.0,16,5000
6.0,15,5000
-31.0,34,5000
3.0,18,5000
-3.0,24,5000
6.0,15,5000
9.0,12,5000
6.0,15,5000
-6.0,27,5000
13.0,8,5000
-1.0,13,5000
9.0,12,5000
-21.0,24,5000
6.0,15,5000
10.0,11,5000
6.0,15,5000
2.0,19,5000
-4.0,16,5000
11.0,10,5000
1.0,11,5000
4.0,17,5000
7.0,14,5000
2.0,19,5000
5.0,16,5000
3.0,18,5000
-3.0,15,5000
4.0,17,5000
-12.0,24,5000
-3.0,24,5000
10.0,11,5000
8.0,13,5000
3.0,18,5000
6.0,15,5000
-4.0,25,5000
-7.0,19,5000
7.0,14,5000
-12.0,24,5000
10.0,11,5000
8.0,13,5000
7.0,14,5000
6.0,15,5000
7.0,14,5000
9.0,12,5000
13.0,8,5000
11.0,10,5000
3.0,18,5000
4.0,17,5000
-3.0,15,5000
12.0,9,5000
-12.0,24,5000
5.0,16,5000
-2.0,23,5000
-10.0,22,5000
12.0,9,5000
2.0,10,5000
7.0,14,5000
10.0,11,5000
10.0,11,5000
12.0,9,5000
-20.0,23,5000
-8.0,20,5000
8.0,13,5000
9.0,12,5000
3.0,18,5000
-16.0,19,5000
6.0,15,5000
11.0,10,5000
-16.0,19,5000
12.0,9,5000
2.0,19,5000
-27.0,21,5000
3.0,18,5000
1.0,20,5000
-19.0,31,5000
-16.0,19,5000
-2.0,23,5000
4.0,17,5000
6.0,15,5000
9.0,12,5000
-12.0,15,5000
9.0,12,5000
0.0,21,5000
-18.0,21,5000
-9.0,21,5000
-7.0,19,5000
9.0,12,5000
-2.0,14,5000
7.0,14,5000
5.0,16,5000
6.0,15,5000
3.0,18,5000
4.0,17,5000
-11.0,23,5000
-4.0,16,5000
4.0,17,5000
3.0,18,5000
8.0,13,5000
3.0,18,5000
-3.0,15,5000
5.0,16,5000
8.0,13,5000
11.0,10,5000
5.0,16,5000
9.0,12,5000
-18.0,21,5000
9.0,12,5000
-4.0,25,5000
7.0,14,5000
11.0,10,5000
8.0,13,5000
4.0,8,5000
-1.0,13,5000
-2.0,14,5000
-1.0,13,5000
-4.0,16,5000
5.0,16,5000
6.0,15,5000
6.0,15,5000
-6.0,18,5000
-4.0,16,5000
4.0,17,5000
-6.0,18,5000
8.0,13,5000
8.0,13,5000
-8.0,20,5000
11.0,10,5000
6.0,15,5000
8.0,13,5000
12.0,9,5000
11.0,10,5000
6.0,15,5000
-7.0,19,5000
9.0,12,5000
8.0,13,5000
5.0,7,5000
11.0,10,5000
-14.0,17,5000
-11.0,14,5000
9.0,12,5000
-7.0,19,5000
4.0,17,5000
-5.0,17,5000
10.0,11,5000
-17.0,20,5000
-1.0,13,5000
11.0,10,5000
-5.0,17,5000
-2.0,14,5000
10.0,11,5000
-17.0,20,5000
-2.0,23,5000
-5.0,17,5000
-1.0,13,5000
-6.0,18,5000
-5.0,17,5000
14.0,7,5000
-5.0,17,5000
5.0,16,5000
8.0,13,5000
10.0,11,5000
-8.0,11,5000
-1.0,22,5000
12.0,9,5000
-19.0,22,5000
-6.0,18,5000
11.0,10,5000
7.0,14,5000
6.0,15,5000
10.0,11,5000
11.0,10,5000
5.0,16,5000
-6.0,18,5000
10.0,11,5000
11.0,10,5000
-15.0,18,5000
5.0,16,5000
-23.0,17,5000
7.0,14,5000
9.0,12,5000
11.0,10,5000
-2.0,14,5000
-6.0,18,5000
7.0,14,5000
